identifier,scheme_or_strategy,year,month,percent,cash,capital_in_out
QUS00072,Scheme QAW++,2026,7,,,
QUS00072,Scheme QAW++,2026,8,,,
QUS00072,Scheme QAW++,2026,9,,,
QUS00072,Scheme QAW++,2026,10,,,
QUS00072,Scheme QAW++,2026,11,,,
QUS00072,Scheme QAW++,2026,12,,,
QUS00072,Scheme QTF,2025,1,,,
QUS00072,Scheme QTF,2025,2,,,
QUS00072,Scheme QTF,2025,3,,,
QUS00072,Scheme QTF,2025,4,,,
QUS00072,Scheme QTF,2025,5,,,
QUS00072,Scheme QTF,2025,6,,,
QUS00072,Scheme QTF,2025,7,,,
QUS00072,Scheme QTF,2025,8,1.24,621611.93,49999904.70
QUS00072,Scheme QTF,2025,9,4.51,2283135.97,0
QUS00072,Scheme QTF,2025,10,2.91,1535912.83,0
QUS00072,Scheme QTF,2025,11,2.93,1595656.14,0
QUS00072,Scheme QTF,2025,12,-0.13,-61935.94,0
QUS00072,Scheme QTF,2026,1,1.47,831056.37,-56805342.00
QUS00072,Scheme QTF,2026,2,,,
QUS00072,Scheme QTF,2026,3,,,
QUS00072,Scheme QTF,2026,4,,,
QUS00072,Scheme QTF,2026,5,,,
QUS00072,Scheme QTF,2026,6,,,
QUS00072,Scheme QTF,2026,7,,,
QUS00072,Scheme QTF,2026,8,,,
QUS00072,Scheme QTF,2026,9,,,
QUS00072,Scheme QTF,2026,10,,,
QUS00072,Scheme QTF,2026,11,,,
QUS00072,Scheme QTF,2026,12,,,
