System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,
SLONG24,2025-06-26,-711.00,0.00,99.93,100.00,-711.00,-0.07,1055666.29,0.00,0.00,0.00,-0.07,
SLONG3,2025-06-26,1877.14,0.00,100.18,100.00,1877.14,0.18,1055666.29,0.00,0.00,0.00,0.00,
SLONG4,2025-06-26,1877.14,0.00,100.18,100.00,1877.14,0.18,1055666.29,0.00,0.00,0.00,0.00,
SLONG5,2025-06-26,1951.00,0.00,100.18,100.00,1951.00,0.18,1055666.29,0.00,0.00,0.00,0.00,
SLONG6,2025-06-26,2508.57,0.00,100.24,100.00,2508.57,0.24,1055666.29,0.00,0.00,0.00,0.00,
SLONG7,2025-06-26,1951.00,0.00,100.18,100.00,1951.00,0.18,1055666.29,0.00,0.00,0.00,0.00,
SLONG8,2025-06-26,2508.57,0.00,100.24,100.00,2508.57,0.24,1055666.29,0.00,0.00,0.00,0.00,
SLONG9,2025-06-26,1951.00,0.00,100.18,100.00,1951.00,0.18,1055666.29,0.00,0.00,0.00,0.00,
Liquidcase Stock Holdings,2025-06-26,17007354.00,16999566.75,100.05,100.00,7787.25,0.05,16999566.75,0.00,0.00,0.00,0.00,
Small Cap Stock Holdings,2025-06-26,30531000.00,30615000.00,99.73,100.00,-84000.00,-0.27,30615000.00,0.00,0.00,0.00,-0.27,
Debt Stock Holdings,2025-06-26,17007354.00,16999566.75,100.05,100.00,7787.25,0.05,16999566.75,0.00,0.00,0.00,0.00,
Equity Stock Holdings,2025-06-26,30531000.00,30615000.00,99.73,100.00,-84000.00,-0.27,30615000.00,0.00,0.00,0.00,-0.27,
Stock Holdings,2025-06-26,47538354.00,47614566.75,99.84,100.00,-76212.75,-0.16,47614566.75,0.00,0.00,0.00,-0.16,
Miscellaneous P&L,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Tax,2025-06-26,-2339.82,0.00,100.00,100.00,-2339.82,0.00,0.00,0.00,0.00,0.00,0.00,
Equity Holdings Tax,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Equity Intraday Tax,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
F&O Tax,2025-06-26,-2339.82,0.00,100.00,100.00,-2339.82,0.00,0.00,0.00,0.00,0.00,0.00,
MCX Tax,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Other Debits and Credits,2025-06-26,-3256.70,0.00,100.00,100.00,-3256.70,0.00,0.00,0.00,0.00,0.00,0.00,
Equity Other Debits and Credits,2025-06-26,-3256.70,0.00,100.00,100.00,-3256.70,0.00,0.00,0.00,0.00,0.00,0.00,
NPSAR,2025-06-26,3216969.08,3166998.89,100.20,100.00,49970.19,0.20,25335991.15,0.00,0.00,0.00,0.00,
SPSAR,2025-06-26,3242997.89,3166998.89,100.30,100.00,75999.00,0.30,25335991.15,0.00,0.00,0.00,0.00,
NLONG,2025-06-26,84811.21,0.00,100.33,100.00,84811.21,0.33,25335990.96,0.00,0.00,0.00,0.00,
SLONG,2025-06-26,26919.60,0.00,100.11,100.00,26919.60,0.11,25335990.96,0.00,0.00,0.00,0.00,
BNLONG,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
PSAR,2025-06-26,6459966.98,6333997.79,100.25,100.00,125969.19,0.25,50671982.30,0.00,0.00,0.00,0.00,
LONG,2025-06-26,111730.81,0.00,100.22,100.00,111730.81,0.22,50671981.92,0.00,0.00,0.00,0.00,
Total Portfolio Value,2025-06-26,6569357.97,6333997.79,100.46,100.00,235360.18,0.46,50671982.00,0.00,0.00,0.00,0.00,
Zerodha Total Portfolio,2025-06-26,50771524.33,50615633.60,100.31,100.00,155890.73,0.31,50615633.60,0.00,0.00,0.00,0.00,
NPSAR1,2025-06-27,181846.88,-2107.44,100.57,100.15,5902.50,0.42,1407555.07,178051.82,1407555.07,2107.44,0.00,
NPSAR10,2025-06-27,407679.86,-8885.58,100.65,100.28,11805.00,0.37,3166998.88,404760.44,3166998.88,8885.58,0.00,
NPSAR11,2025-06-27,407679.86,-8885.58,100.65,100.28,11805.00,0.37,3166998.88,404760.44,3166998.88,8885.58,0.00,
NPSAR12,2025-06-27,407679.86,-8885.58,100.65,100.28,11805.00,0.37,3166998.88,404760.44,3166998.88,8885.58,0.00,
NPSAR13,2025-06-27,407679.86,-2180.19,100.44,100.07,11805.00,0.37,3166998.88,398055.05,3166998.88,2180.19,0.00,
NPSAR2,2025-06-27,181846.88,-1623.84,100.54,100.12,5902.50,0.42,1407555.07,177568.22,1407555.07,1623.84,0.00,
NPSAR3,2025-06-27,181846.88,-1338.84,100.52,100.10,5902.50,0.42,1407555.07,177283.22,1407555.07,1338.84,0.00,
NPSAR4,2025-06-27,181846.88,-1338.84,100.52,100.10,5902.50,0.42,1407555.07,177283.22,1407555.07,1338.84,0.00,
NPSAR5,2025-06-27,181846.88,-2107.44,100.57,100.15,5902.50,0.42,1407555.07,178051.82,1407555.07,2107.44,0.00,
NPSAR6,2025-06-27,181846.88,-2107.44,100.57,100.15,5902.50,0.42,1407555.07,178051.82,1407555.07,2107.44,0.00,
NPSAR7,2025-06-27,181846.88,-1623.84,100.54,100.12,5902.50,0.42,1407555.07,177568.22,1407555.07,1623.84,0.00,
NPSAR8,2025-06-27,181846.88,-4442.79,100.74,100.32,5902.50,0.42,1407555.07,180387.17,1407555.07,4442.79,0.00,
NPSAR9,2025-06-27,181846.88,-4442.79,100.74,100.32,5902.50,0.42,1407555.07,180387.17,1407555.07,4442.79,0.00,
SPSAR1,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR10,2025-06-27,399784.86,-12078.00,100.50,100.38,3910.00,0.12,3166998.88,407952.86,3166998.88,12078.00,0.00,
SPSAR11,2025-06-27,399410.86,-10946.00,100.46,100.35,3536.00,0.11,3166998.88,406820.86,3166998.88,10946.00,0.00,
SPSAR12,2025-06-27,399104.86,-9950.00,100.41,100.31,3230.00,0.10,3166998.88,405824.86,3166998.88,9950.00,0.00,
SPSAR13,2025-06-27,399104.86,-9950.00,100.41,100.31,3230.00,0.10,3166998.88,405824.86,3166998.88,9950.00,0.00,
SPSAR2,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR3,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR4,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR5,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR6,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR7,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR8,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
SPSAR9,2025-06-27,177163.38,-3675.00,100.35,100.26,1219.00,0.09,1407555.07,179619.38,1407555.07,3675.00,0.00,
BNLONG1,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG10,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG11,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG12,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG2,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG3,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG4,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG5,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG6,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG7,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG8,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BNLONG9,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG1,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG10,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG11,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG12,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG2,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG3,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG4,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG5,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG6,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG7,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG8,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
FNLONG9,2025-06-27,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NLONG1,2025-06-27,3992.42,-2994.34,100.66,100.28,3992.42,0.38,1055666.29,2994.34,1055666.29,2994.34,0.00,
NLONG10,2025-06-27,4062.80,-2623.76,100.64,100.25,4062.80,0.38,1055666.29,2623.76,1055666.29,2623.76,0.00,
NLONG11,2025-06-27,0.00,-11492.21,101.09,101.09,0.00,0.00,1055666.29,11492.21,1055666.29,11492.21,0.00,
NLONG12,2025-06-27,2757.86,-10687.81,101.27,101.01,2757.86,0.26,1055666.29,10687.81,1055666.29,10687.81,0.00,
NLONG13,2025-06-27,3673.00,-1364.00,100.48,100.13,3673.00,0.35,1055666.29,1364.00,1055666.29,1364.00,0.00,
NLONG14,2025-06-27,3717.44,-1364.00,100.48,100.13,3717.44,0.35,1055666.29,1364.00,1055666.29,1364.00,0.00,
NLONG15,2025-06-27,0.00,-5347.52,100.51,100.51,0.00,0.00,1055666.29,5347.52,1055666.29,5347.52,0.00,
NLONG16,2025-06-27,2757.86,-4261.04,100.66,100.40,2757.86,0.26,1055666.29,4261.04,1055666.29,4261.04,0.00,
NLONG17,2025-06-27,3673.00,-1364.00,100.48,100.13,3673.00,0.35,1055666.29,1364.00,1055666.29,1364.00,0.00,
NLONG18,2025-06-27,3717.44,-1364.00,100.48,100.13,3717.44,0.35,1055666.29,1364.00,1055666.29,1364.00,0.00,
NLONG19,2025-06-27,0.00,-9845.79,100.93,100.93,0.00,0.00,1055666.29,9845.79,1055666.29,9845.79,0.00,
NLONG2,2025-06-27,4062.80,-2916.32,100.67,100.28,4062.80,0.38,1055666.29,2916.32,1055666.29,2916.32,0.00,
NLONG20,2025-06-27,2757.86,-4924.19,100.73,100.47,2757.86,0.26,1055666.29,4924.19,1055666.29,4924.19,0.00,
NLONG21,2025-06-27,3397.19,885.40,100.24,99.92,3397.19,0.32,1055666.29,-885.40,1055666.29,-885.40,0.00,
NLONG22,2025-06-27,3552.75,885.40,100.26,99.92,3552.75,0.34,1055666.29,-885.40,1055666.29,-885.40,0.00,
NLONG23,2025-06-27,0.00,-3840.84,100.36,100.36,0.00,0.00,1055666.29,3840.84,1055666.29,3840.84,0.00,
NLONG24,2025-06-27,0.00,7158.12,99.32,99.32,0.00,0.00,1055666.29,-7158.12,1055666.29,-7158.12,-0.68,
NLONG3,2025-06-27,0.00,-4389.33,100.42,100.42,0.00,0.00,1055666.29,4389.33,1055666.29,4389.33,0.00,
NLONG4,2025-06-27,0.00,6120.14,99.42,99.42,0.00,0.00,1055666.29,-6120.14,1055666.29,-6120.14,-0.58,
NLONG5,2025-06-27,3992.42,-3138.67,100.68,100.30,3992.42,0.38,1055666.29,3138.67,1055666.29,3138.67,0.00,
NLONG6,2025-06-27,4062.80,-2623.76,100.64,100.25,4062.80,0.38,1055666.29,2623.76,1055666.29,2623.76,0.00,
NLONG7,2025-06-27,0.00,-11492.21,101.09,101.09,0.00,0.00,1055666.29,11492.21,1055666.29,11492.21,0.00,
NLONG8,2025-06-27,2757.86,-10687.81,101.27,101.01,2757.86,0.26,1055666.29,10687.81,1055666.29,10687.81,0.00,
NLONG9,2025-06-27,3992.42,-3138.67,100.68,100.30,3992.42,0.38,1055666.29,3138.67,1055666.29,3138.67,0.00,
SLONG1,2025-06-27,3202.67,-2663.56,100.55,100.25,3202.67,0.30,1055666.29,2663.56,1055666.29,2663.56,0.00,
SLONG10,2025-06-27,3407.12,-2508.57,100.56,100.24,3407.12,0.32,1055666.29,2508.57,1055666.29,2508.57,0.00,
SLONG11,2025-06-27,4204.18,-1951.00,100.58,100.18,4204.18,0.40,1055666.29,1951.00,1055666.29,1951.00,0.00,
SLONG12,2025-06-27,2752.29,-2508.57,100.50,100.24,2752.29,0.26,1055666.29,2508.57,1055666.29,2508.57,0.00,
SLONG13,2025-06-27,2972.72,-216.10,100.30,100.02,2972.72,0.28,1055666.29,216.10,1055666.29,216.10,0.00,
SLONG14,2025-06-27,3052.73,-216.10,100.31,100.02,3052.73,0.29,1055666.29,216.10,1055666.29,216.10,0.00,
SLONG15,2025-06-27,3999.91,-216.10,100.40,100.02,3999.91,0.38,1055666.29,216.10,1055666.29,216.10,0.00,
SLONG16,2025-06-27,2679.38,-216.10,100.27,100.02,2679.38,0.25,1055666.29,216.10,1055666.29,216.10,0.00,
SLONG17,2025-06-27,2972.72,-216.10,100.30,100.02,2972.72,0.28,1055666.29,216.10,1055666.29,216.10,0.00,
SLONG18,2025-06-27,3052.73,-216.10,100.31,100.02,3052.73,0.29,1055666.29,216.10,1055666.29,216.10,0.00,
SLONG19,2025-06-27,3999.91,-962.99,100.47,100.09,3999.91,0.38,1055666.29,962.99,1055666.29,962.99,0.00,
SLONG2,2025-06-27,3407.12,-2579.30,100.56,100.24,3407.12,0.32,1055666.29,2579.30,1055666.29,2579.30,0.00,
SLONG20,2025-06-27,2679.38,-887.05,100.33,100.08,2679.38,0.25,1055666.29,887.05,1055666.29,887.05,0.00,
SLONG21,2025-06-27,2581.58,820.23,100.16,99.92,2581.58,0.24,1055666.29,-820.23,1055666.29,-820.23,0.00,
SLONG22,2025-06-27,2663.56,820.23,100.17,99.92,2663.56,0.25,1055666.29,-820.23,1055666.29,-820.23,0.00,
SLONG23,2025-06-27,3370.74,711.00,100.25,99.93,3370.74,0.32,1055666.29,-711.00,1055666.29,-711.00,0.00,
SLONG24,2025-06-27,2227.99,711.00,100.14,99.93,2227.99,0.21,1055666.29,-711.00,1055666.29,-711.00,0.00,
SLONG3,2025-06-27,4204.18,-1877.14,100.58,100.18,4204.18,0.40,1055666.29,1877.14,1055666.29,1877.14,0.00,
SLONG4,2025-06-27,2752.29,-1877.14,100.44,100.18,2752.29,0.26,1055666.29,1877.14,1055666.29,1877.14,0.00,
SLONG5,2025-06-27,3202.67,-1951.00,100.48,100.18,3202.67,0.30,1055666.29,1951.00,1055666.29,1951.00,0.00,
SLONG6,2025-06-27,3407.12,-2508.57,100.56,100.24,3407.12,0.32,1055666.29,2508.57,1055666.29,2508.57,0.00,
