System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
NLONG8,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
NLONG9,2026-01-16,-29905.66,0.00,99.20,100.00,-29905.66,-0.80,3756948.19,0.00,0.00,0.00,-0.80
SLONG1,2026-01-16,-22940.12,0.00,99.39,100.00,-22940.12,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG10,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG11,2026-01-16,-17583.16,0.00,99.53,100.00,-17583.16,-0.47,3756948.19,0.00,0.00,0.00,-0.47
SLONG12,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG13,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG14,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG15,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG16,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG17,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG18,2026-01-16,3039.83,0.00,100.08,100.00,3039.83,0.08,3756948.19,0.00,0.00,0.00,0.00
SLONG19,2026-01-16,902.33,0.00,100.02,100.00,902.33,0.02,3756948.19,0.00,0.00,0.00,0.00
SLONG2,2026-01-16,-22832.92,0.00,99.39,100.00,-22832.92,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG20,2026-01-16,902.33,0.00,100.02,100.00,902.33,0.02,3756948.19,0.00,0.00,0.00,0.00
SLONG21,2026-01-16,-180.34,0.00,100.00,100.00,-180.34,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG22,2026-01-16,-180.34,0.00,100.00,100.00,-180.34,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG23,2026-01-16,1743.82,0.00,100.05,100.00,1743.82,0.05,3756948.19,0.00,0.00,0.00,0.00
SLONG24,2026-01-16,1743.82,0.00,100.05,100.00,1743.82,0.05,3756948.19,0.00,0.00,0.00,0.00
SLONG3,2026-01-16,-22940.12,0.00,99.39,100.00,-22940.12,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG4,2026-01-16,-22832.92,0.00,99.39,100.00,-22832.92,-0.61,3756948.19,0.00,0.00,0.00,-0.61
SLONG5,2026-01-16,-23555.11,0.00,99.37,100.00,-23555.11,-0.63,3756948.19,0.00,0.00,0.00,-0.63
SLONG6,2026-01-16,-24431.07,0.00,99.35,100.00,-24431.07,-0.65,3756948.19,0.00,0.00,0.00,-0.65
SLONG7,2026-01-16,-19631.96,0.00,99.48,100.00,-19631.96,-0.52,3756948.19,0.00,0.00,0.00,-0.52
SLONG8,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,3756948.19,0.00,0.00,0.00,0.00
SLONG9,2026-01-16,-17583.16,0.00,99.53,100.00,-17583.16,-0.47,3756948.19,0.00,0.00,0.00,-0.47
Liquidcase Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
QYE++ Liquidcase Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
QYE++ Debt Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
Debt Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
QYE++ Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
