Symbol,Mastersheet Tag,Exchange,Quantity,Avg Price,Broker,Debt/Equity,Sub Category,Strategy,LTP,Buy Value,Value as of Today,PNL Amount,% PNL
SGBSEP31II,Stock Holdings,NSE,2000,14455.14,Zerodha,Debt,Bond,QYE++,15339.47,28910280.0,30678940.0,1768660.0,6.117754653362057
LOWVOLIETF,Stock Holdings,NSE,456485,22.74176,Zerodha,Equity,Low Vol,QAW++,21.63,10381272.3136,9873770.549999999,-507501.7636000011,-4.888627793099568
LIQUIDCASE,Stock Holdings,NSE,181712,113.48648,Zerodha,Debt,Liquidcase,QYE++,113.82,20621855.25376,20682459.84,60604.58624000102,0.2938852275619025
LIQUIDCASE,Stock Holdings,NSE,122390,113.02143,Zerodha,Debt,Liquidcase,QAW++,113.82,13832692.817699999,13930429.799999999,97736.98230000027,0.7065651177834134
MOMENTUM50,Stock Holdings,NSE,400757,50.99533,Zerodha,Equity,Momentum,QAW++,51.62,20436735.464810003,20687076.34,250340.87518999726,1.2249553047308346
GOLDBEES,Stock Holdings,NSE,158193,114.45207,Zerodha,Equity,Gold,QAW++,121.58,18105516.30951,19233104.94,1127588.6304900013,6.227873379660142
