Symbol,Mastersheet Tag,Exchange,Quantity,Avg Price,Broker,Debt/Equity,Sub Category,Strategy,LTP,Buy Value,Value as of Today,PNL Amount,% PNL
LOWVOLIETF,Stock Holdings,NSE,480500,20.27112,Zerodha,Equity,Low Vol,QAW++,21.63,9740273.16,10393215.0,652941.8399999999,6.703526988148653
LIQUIDCASE,Stock Holdings,NSE,477716,113.5089,Zerodha,Debt,Liquidcase,QYE++,113.82,54225017.6724,54373635.12,148617.4475999996,0.2740754249226238
LIQUIDCASE,Stock Holdings,NSE,133114,113.4595,Zerodha,Debt,Liquidcase,QAW++,113.82,15103047.883000001,15151035.479999999,47987.59699999727,0.31773452201004554
MOMENTUM50,Stock Holdings,NSE,426600,45.63056,Zerodha,Equity,Momentum,QAW++,51.62,19465996.896,22021092.0,2555095.1039999984,13.125940159401933
GOLDBEES,Stock Holdings,NSE,179440,110.27433,Zerodha,Equity,Gold,QAW++,121.58,19787625.775200002,21816315.2,2028689.4247999974,10.252313480390214
