System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,
NLONG11,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG12,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG13,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG14,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG15,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG16,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG17,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG18,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG19,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG2,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG20,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG21,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG22,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG23,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG24,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG3,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG4,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG5,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG6,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG7,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG8,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
NLONG9,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG1,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG10,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG11,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG12,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG13,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG14,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG15,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG16,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG17,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG18,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG19,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG2,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG20,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG21,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG22,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG23,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG24,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG3,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG4,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG5,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG6,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG7,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG8,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
SLONG9,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,1113310.17,0.00,0.00,0.00,0.00,,,,
Large Cap Stock Holdings,2025-06-25,18892650.00,18911950.00,99.90,100.00,-19300.00,-0.10,18911950.00,0.00,0.00,0.00,-0.10,,,,
Liquidcase Stock Holdings,2025-06-25,4401448.90,4399836.50,100.04,100.00,1612.40,0.04,4399836.50,0.00,0.00,0.00,0.00,,,,
Small Cap Stock Holdings,2025-06-25,28030668.00,27419728.00,102.23,100.00,610940.00,2.23,27419728.00,0.00,0.00,0.00,0.00,,,,
Debt Stock Holdings,2025-06-25,4401448.90,4399836.50,100.04,100.00,1612.40,0.04,4399836.50,0.00,0.00,0.00,0.00,,,,
Equity Stock Holdings,2025-06-25,46923318.00,46331678.00,101.28,100.00,591640.00,1.28,46331678.00,0.00,0.00,0.00,0.00,,,,
Stock Holdings,2025-06-25,51324766.90,50731514.50,101.17,100.00,593252.40,1.17,50731514.50,0.00,0.00,0.00,0.00,,,,
Miscellaneous P&L,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total Tax,2025-06-25,-1269.61,0.00,100.00,100.00,-1269.61,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Holdings Tax,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Intraday Tax,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
F&O Tax,2025-06-25,-1269.61,0.00,100.00,100.00,-1269.61,0.00,0.00,0.00,0.00,0.00,0.00,,,,
MCX Tax,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total Other Debits and Credits,2025-06-25,-824.59,0.00,100.00,100.00,-824.59,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Other Debits and Credits,2025-06-25,-824.59,0.00,100.00,100.00,-824.59,0.00,0.00,0.00,0.00,0.00,0.00,,,,
NPSAR,2025-06-25,3366333.07,3339930.52,100.10,100.00,26402.55,0.10,26719444.13,0.00,0.00,0.00,0.00,,,,
SPSAR,2025-06-25,3371353.71,3339930.52,100.12,100.00,31423.19,0.12,26719444.13,0.00,0.00,0.00,0.00,,,,
NLONG,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,26719444.08,0.00,0.00,0.00,0.00,,,,
SLONG,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,26719444.08,0.00,0.00,0.00,0.00,,,,
BNLONG,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
PSAR,2025-06-25,6737686.77,6679861.03,100.11,100.00,57825.74,0.11,53438888.26,0.00,0.00,0.00,0.00,,,,
LONG,2025-06-25,0.00,0.00,100.00,100.00,0.00,0.00,53438888.16,0.00,0.00,0.00,0.00,,,,
Total Portfolio Value,2025-06-25,6736417.16,6679861.03,100.11,100.00,56556.13,0.11,53438888.00,0.00,0.00,0.00,0.00,,,,
Zerodha Total Portfolio,2025-06-25,54480622.34,53831638.40,101.21,100.00,648983.94,1.21,53831638.40,0.00,0.00,0.00,0.00,,,,
NPSAR1,2025-06-26,188079.82,-4627.50,100.48,100.31,2528.12,0.17,1484413.57,190179.20,1484413.57,4627.50,0.00,,,,
NPSAR10,2025-06-26,427219.67,10925.56,99.96,99.67,9728.36,0.29,3339930.50,406565.75,3339930.50,-10925.56,-0.04,,,,
NPSAR11,2025-06-26,427219.67,7169.63,100.08,99.79,9728.36,0.29,3339930.50,410321.68,3339930.50,-7169.63,0.00,,,,
NPSAR12,2025-06-26,427219.67,3751.17,100.18,99.89,9728.36,0.29,3339930.50,413740.14,3339930.50,-3751.17,0.00,,,,
NPSAR13,2025-06-26,421889.06,-4996.41,100.28,100.15,4397.75,0.13,3339930.50,422487.72,3339930.50,4996.41,0.00,,,,
NPSAR2,2025-06-26,187596.10,-2771.25,100.33,100.19,2044.40,0.14,1484413.57,188322.95,1484413.57,2771.25,0.00,,,,
NPSAR3,2025-06-26,187311.10,-1627.50,100.23,100.11,1759.40,0.12,1484413.57,187179.20,1484413.57,1627.50,0.00,,,,
NPSAR4,2025-06-26,187311.10,-1627.50,100.23,100.11,1759.40,0.12,1484413.57,187179.20,1484413.57,1627.50,0.00,,,,
NPSAR5,2025-06-26,188079.82,-4627.50,100.48,100.31,2528.12,0.17,1484413.57,190179.20,1484413.57,4627.50,0.00,,,,
NPSAR6,2025-06-26,188079.82,-4627.50,100.48,100.31,2528.12,0.17,1484413.57,190179.20,1484413.57,4627.50,0.00,,,,
NPSAR7,2025-06-26,187596.10,-2771.25,100.33,100.19,2044.40,0.14,1484413.57,188322.95,1484413.57,2771.25,0.00,,,,
NPSAR8,2025-06-26,190415.88,-10286.25,101.02,100.69,4864.18,0.33,1484413.57,195837.95,1484413.57,10286.25,0.00,,,,
NPSAR9,2025-06-26,190415.88,-10286.25,101.02,100.69,4864.18,0.33,1484413.57,195837.95,1484413.57,10286.25,0.00,,,,
SPSAR1,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR10,2025-06-26,429569.31,8527.73,100.10,99.74,12078.00,0.36,3339930.50,408963.58,3339930.50,-8527.73,0.00,,,,
SPSAR11,2025-06-26,428437.31,4992.54,100.18,99.85,10946.00,0.33,3339930.50,412498.77,3339930.50,-4992.54,0.00,,,,
SPSAR12,2025-06-26,427441.31,500.71,100.29,99.99,9950.00,0.30,3339930.50,416990.60,3339930.50,-500.71,0.00,,,,
SPSAR13,2025-06-26,427441.31,-1128.17,100.33,100.03,9950.00,0.30,3339930.50,418619.48,3339930.50,1128.17,0.00,,,,
SPSAR2,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR3,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR4,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR5,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR6,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR7,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR8,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
SPSAR9,2025-06-26,189226.70,-4924.00,100.58,100.33,3675.00,0.25,1484413.57,190475.70,1484413.57,4924.00,0.00,,,,
BNLONG1,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG10,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG11,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG12,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG2,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG3,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG4,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG5,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG6,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG7,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG8,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
BNLONG9,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG1,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG10,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG11,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG12,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG2,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG3,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG4,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG5,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG6,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG7,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG8,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
FNLONG9,2025-06-26,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
NLONG1,2025-06-26,3463.88,0.00,100.31,100.00,3463.88,0.31,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG10,2025-06-26,3104.62,0.00,100.28,100.00,3104.62,0.28,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG11,2025-06-26,12509.47,0.00,101.12,100.00,12509.47,1.12,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG12,2025-06-26,12153.86,0.00,101.09,100.00,12153.86,1.09,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG13,2025-06-26,1812.08,0.00,100.16,100.00,1812.08,0.16,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG14,2025-06-26,1812.08,0.00,100.16,100.00,1812.08,0.16,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG15,2025-06-26,6129.53,0.00,100.55,100.00,6129.53,0.55,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG16,2025-06-26,5418.45,0.00,100.49,100.00,5418.45,0.49,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG17,2025-06-26,1812.08,0.00,100.16,100.00,1812.08,0.16,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG18,2025-06-26,1812.08,0.00,100.16,100.00,1812.08,0.16,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG19,2025-06-26,10949.09,0.00,100.98,100.00,10949.09,0.98,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG2,2025-06-26,3388.25,0.00,100.30,100.00,3388.25,0.30,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG20,2025-06-26,9287.66,0.00,100.83,100.00,9287.66,0.83,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG21,2025-06-26,-437.79,0.00,99.96,100.00,-437.79,-0.04,1113310.17,0.00,1113310.17,0.00,-0.04,,,,
NLONG22,2025-06-26,-437.79,0.00,99.96,100.00,-437.79,-0.04,1113310.17,0.00,1113310.17,0.00,-0.04,,,,
NLONG23,2025-06-26,4716.99,0.00,100.42,100.00,4716.99,0.42,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG24,2025-06-26,-6646.15,0.00,99.40,100.00,-6646.15,-0.60,1113310.17,0.00,1113310.17,0.00,-0.60,,,,
NLONG3,2025-06-26,5169.91,0.00,100.46,100.00,5169.91,0.46,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG4,2025-06-26,-5687.55,0.00,99.49,100.00,-5687.55,-0.51,1113310.17,0.00,1113310.17,0.00,-0.51,,,,
NLONG5,2025-06-26,3603.80,0.00,100.32,100.00,3603.80,0.32,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG6,2025-06-26,3104.62,0.00,100.28,100.00,3104.62,0.28,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG7,2025-06-26,12509.47,0.00,101.12,100.00,12509.47,1.12,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG8,2025-06-26,12153.86,0.00,101.09,100.00,12153.86,1.09,1113310.17,0.00,1113310.17,0.00,0.00,,,,
NLONG9,2025-06-26,3603.80,0.00,100.32,100.00,3603.80,0.32,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG1,2025-06-26,2977.51,0.00,100.27,100.00,2977.51,0.27,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG10,2025-06-26,2827.25,0.00,100.25,100.00,2827.25,0.25,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG11,2025-06-26,2286.72,0.00,100.21,100.00,2286.72,0.21,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG12,2025-06-26,2827.25,0.00,100.25,100.00,2827.25,0.25,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG13,2025-06-26,565.17,0.00,100.05,100.00,565.17,0.05,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG14,2025-06-26,565.17,0.00,100.05,100.00,565.17,0.05,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG15,2025-06-26,565.17,0.00,100.05,100.00,565.17,0.05,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG16,2025-06-26,565.17,0.00,100.05,100.00,565.17,0.05,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG17,2025-06-26,565.17,0.00,100.05,100.00,565.17,0.05,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG18,2025-06-26,565.17,0.00,100.05,100.00,565.17,0.05,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG19,2025-06-26,1289.24,0.00,100.12,100.00,1289.24,0.12,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG2,2025-06-26,2895.82,0.00,100.26,100.00,2895.82,0.26,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG20,2025-06-26,1215.62,0.00,100.11,100.00,1215.62,0.11,1113310.17,0.00,1113310.17,0.00,0.00,,,,
SLONG21,2025-06-26,-508.03,0.00,99.95,100.00,-508.03,-0.05,1113310.17,0.00,1113310.17,0.00,-0.05,,,,
